"","SciName","PLD","database","Family","part_of_stock_list"
"239","Embiotoca jacksoni",0,"Fish and Inverts (Ramesh)","Embiotocidae",FALSE
"240","Engraulis mordax",30,"Fish and Inverts (Ramesh)","Engraulidae",TRUE
"241","Epinephelus merra",39,"Fish and Inverts (Ramesh)","Serranidae",TRUE
"242","Epinephelus morio",40,"Fish and Inverts (Ramesh)","Serranidae",TRUE
"243","Epinephelus morio",40,"Fish and Inverts (Ramesh)","Serranidae",TRUE
"244","Eucyclogobius newberryi",16.5,"Fish and Inverts (Ramesh)","Gobiidae",FALSE
"245","Eupomacentrus partitus",28,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"246","Forcipiger flavissimus",45,"Fish and Inverts (Ramesh)","Chaetodontidae",FALSE
"247","Gaidropsarus mediterraneus",43,"Fish and Inverts (Ramesh)","Lotidae",FALSE
"248","Gasterosteus aculeatus",35,"Fish and Inverts (Ramesh)","Gasterosteidae",TRUE
"249","Girella nigricans",60,"Fish and Inverts (Ramesh)","Kyphosidae",FALSE
"250","Gnatholepis thompsoni",81.5,"Fish and Inverts (Ramesh)","Gobiidae",FALSE
"251","Gobionotothen gibberifrons",120,"Fish and Inverts (Ramesh)","Nototheniidae",FALSE
"252","Haemulon flavolineatum",15,"Fish and Inverts (Ramesh)","Haemulidae",FALSE
"253","Haemulon flavolineatum",15,"Fish and Inverts (Ramesh)","Haemulidae",FALSE
"254","Halichoeres bivittatus",24.1,"Fish and Inverts (Ramesh)","Labridae",FALSE
"255","Halichoeres bivittatus",24.2,"Fish and Inverts (Ramesh)","Labridae",FALSE
"256","Halichoeres maculipinna",29,"Fish and Inverts (Ramesh)","Labridae",FALSE
"257","Halichoeres poey",25,"Fish and Inverts (Ramesh)","Labridae",FALSE
"258","Halichoeres radiatus",26,"Fish and Inverts (Ramesh)","Labridae",FALSE
"259","Hippocampus NA",18.5,"Fish and Inverts (Ramesh)",NA,FALSE
"260","Holocentrus ascensionis",48.7,"Fish and Inverts (Ramesh)","Holocentridae",FALSE
"261","Holocentrus ascensionis",71,"Fish and Inverts (Ramesh)","Holocentridae",FALSE
"262","Lachnolaimus maximus",26,"Fish and Inverts (Ramesh)","Labridae",TRUE
"263","Lethrinus obsoletus",14,"Fish and Inverts (Ramesh)","Lethrinidae",TRUE
"264","Lutjanus erythropterus",21,"Fish and Inverts (Ramesh)","Lutjanidae",FALSE
"265","Lythrypnus dalli",70,"Fish and Inverts (Ramesh)","Gobiidae",FALSE
"266","Malacoctenus hubbsi",24,"Fish and Inverts (Ramesh)","Labrisomidae",FALSE
"267","Medialuna californiensis",90,"Fish and Inverts (Ramesh)","Kyphosidae",FALSE
"268","Mullus surmuletus",30.1,"Fish and Inverts (Ramesh)","Mullidae",TRUE
"269","Mycteroperca NA",42,"Fish and Inverts (Ramesh)",NA,FALSE
"270","Myripristis berndti",55,"Fish and Inverts (Ramesh)","Holocentridae",FALSE
"271","Myripristis jacobus",58,"Fish and Inverts (Ramesh)","Holocentridae",FALSE
"272","Naso vlamingii",90,"Fish and Inverts (Ramesh)","Acanthuridae",FALSE
"273","Ocyurus NA",34.5,"Fish and Inverts (Ramesh)",NA,FALSE
"274","Ophioblennius atlanticus",28.6,"Fish and Inverts (Ramesh)","Blenniidae",FALSE
"275","Ophioblennius steindachneri",50,"Fish and Inverts (Ramesh)","Blenniidae",FALSE
"276","Ostorhinchus doederleini",21,"Fish and Inverts (Ramesh)","Apogonidae",FALSE
"277","Pagellus NA",43.9,"Fish and Inverts (Ramesh)",NA,FALSE
"278","Paralabrax clathratus",24,"Fish and Inverts (Ramesh)","Serranidae",FALSE
"279","Parupeneus barberinus",7,"Fish and Inverts (Ramesh)","Mullidae",FALSE
"280","Plectroglyphydodon dickii",25,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"281","Pomacentrus coelestis",19,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"282","Pomacentrus pavo",25,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"283","Pomatoschistus minutus",35,"Fish and Inverts (Ramesh)","Gobiidae",FALSE
"284","Pterapogon kauderni",0,"Fish and Inverts (Ramesh)","Apogonidae",FALSE
"285","Pterocaesio chrysozona",42,"Fish and Inverts (Ramesh)","Caesionidae",FALSE
"286","Rhinecanthus aculeatus",73,"Fish and Inverts (Ramesh)","Balistidae",FALSE
"287","Sarpa salpa",31.7,"Fish and Inverts (Ramesh)","Sparidae",TRUE
"288","Sciaena umbra",22.5,"Fish and Inverts (Ramesh)","Sciaenidae",FALSE
"289","Scorpaena NA",27,"Fish and Inverts (Ramesh)",NA,FALSE
"290","Sebastes atrovirens",75,"Fish and Inverts (Ramesh)","Sebastidae",FALSE
"291","Sebastes auriculatus",90,"Fish and Inverts (Ramesh)","Sebastidae",FALSE
"292","Sebastes caurinus",75,"Fish and Inverts (Ramesh)","Sebastidae",FALSE
"293","Sebastes crameri",90,"Fish and Inverts (Ramesh)","Sebastidae",TRUE
"294","Sebastes rastrelliger",60,"Fish and Inverts (Ramesh)","Sebastidae",FALSE
"295","Semicossyphus pulcher",53,"Fish and Inverts (Ramesh)","Labridae",TRUE
"296","Serranus NA",37.5,"Fish and Inverts (Ramesh)",NA,FALSE
"297","Siganus luridus",14,"Fish and Inverts (Ramesh)","Siganidae",FALSE
"298","Sparisoma viride",57,"Fish and Inverts (Ramesh)","Scaridae",FALSE
"299","Spondyliosoma cantharus",33.7,"Fish and Inverts (Ramesh)","Sparidae",TRUE
"300","Stegastes fasciolatus",34.5,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"301","Stegastes leucostictus",24.5,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"302","Stegastes nigricans",24,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"303","Stegastes nigricans",24,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"304","Thalassoma bifasciatum",45,"Fish and Inverts (Ramesh)","Labridae",FALSE
"305","Thalassoma bifasciatum",49.3,"Fish and Inverts (Ramesh)","Labridae",FALSE
"306","Trachinus draco",12.9,"Fish and Inverts (Ramesh)","Trachinidae",TRUE
"307","Trigla lucerna",19.1,"Fish and Inverts (Ramesh)","Triglidae",FALSE
